dewptf,Temperature,12808_Weather,SparkFun_Weather_Station_located_in_Adirondack,_New_York__http://www.wunderground.com/personal-weather-station/dashboard?ID=KNYADIRO3,humidity,light,pressure,rain,temperature,weather,wind
humidity,Humidity,12808_Weather,SparkFun_Weather_Station_located_in_Adirondack,_New_York__http://www.wunderground.com/personal-weather-station/dashboard?ID=KNYADIRO3,humidity,light,pressure,rain,temperature,weather,wind
light_lvl,Brightness,12808_Weather,SparkFun_Weather_Station_located_in_Adirondack,_New_York__http://www.wunderground.com/personal-weather-station/dashboard?ID=KNYADIRO3,humidity,light,pressure,rain,temperature,weather,wind
rainin,Rain_Index,12808_Weather,SparkFun_Weather_Station_located_in_Adirondack,_New_York__http://www.wunderground.com/personal-weather-station/dashboard?ID=KNYADIRO3,humidity,light,pressure,rain,temperature,weather,wind
tempf,Temperature,12808_Weather,SparkFun_Weather_Station_located_in_Adirondack,_New_York__http://www.wunderground.com/personal-weather-station/dashboard?ID=KNYADIRO3,humidity,light,pressure,rain,temperature,weather,wind
timestamp,Time,12808_Weather,SparkFun_Weather_Station_located_in_Adirondack,_New_York__http://www.wunderground.com/personal-weather-station/dashboard?ID=KNYADIRO3,humidity,light,pressure,rain,temperature,weather,wind
winddir,Wind,12808_Weather,SparkFun_Weather_Station_located_in_Adirondack,_New_York__http://www.wunderground.com/personal-weather-station/dashboard?ID=KNYADIRO3,humidity,light,pressure,rain,temperature,weather,wind
winddir_avg2m,Wind,12808_Weather,SparkFun_Weather_Station_located_in_Adirondack,_New_York__http://www.wunderground.com/personal-weather-station/dashboard?ID=KNYADIRO3,humidity,light,pressure,rain,temperature,weather,wind
windgustdir,Speed,12808_Weather,SparkFun_Weather_Station_located_in_Adirondack,_New_York__http://www.wunderground.com/personal-weather-station/dashboard?ID=KNYADIRO3,humidity,light,pressure,rain,temperature,weather,wind
windgustdir_10m,Speed,12808_Weather,SparkFun_Weather_Station_located_in_Adirondack,_New_York__http://www.wunderground.com/personal-weather-station/dashboard?ID=KNYADIRO3,humidity,light,pressure,rain,temperature,weather,wind
windgustmph,Speed,12808_Weather,SparkFun_Weather_Station_located_in_Adirondack,_New_York__http://www.wunderground.com/personal-weather-station/dashboard?ID=KNYADIRO3,humidity,light,pressure,rain,temperature,weather,wind
windgustmph_10m,Speed,12808_Weather,SparkFun_Weather_Station_located_in_Adirondack,_New_York__http://www.wunderground.com/personal-weather-station/dashboard?ID=KNYADIRO3,humidity,light,pressure,rain,temperature,weather,wind
windspdmph_avg2m,Speed,12808_Weather,SparkFun_Weather_Station_located_in_Adirondack,_New_York__http://www.wunderground.com/personal-weather-station/dashboard?ID=KNYADIRO3,humidity,light,pressure,rain,temperature,weather,wind
windspeedmph,Speed,12808_Weather,SparkFun_Weather_Station_located_in_Adirondack,_New_York__http://www.wunderground.com/personal-weather-station/dashboard?ID=KNYADIRO3,humidity,light,pressure,rain,temperature,weather,wind
relative_humidity,Humidity,HP_Sensor_AQ_9,temperature,_humidity_sensor_indoors,hp_weather,,,,,,
temperature_in_celsius,Temperature,HP_Sensor_AQ_9,temperature,_humidity_sensor_indoors,hp_weather,,,,,,
barotemp,Temperature,Knype_Weather,Knypersley_Weather,weather,,,,,,,
hectopascals,Pressure,Knype_Weather,Knypersley_Weather,weather,,,,,,,
humidity,Humidity,Knype_Weather,Knypersley_Weather,weather,,,,,,,
tempf,Temperature,Knype_Weather,Knypersley_Weather,weather,,,,,,,
barometer,Pressure,Whidbey_Weather_Station,SparkFun_Photon_WeatherShield_at_seaside_location_on_200'_bluff_at_the_Strait_of_Juan_De_Fuca.,oceanweather,seasideweather,weather,whidbeyisland,,,,
humidity,Humidity,Whidbey_Weather_Station,SparkFun_Photon_WeatherShield_at_seaside_location_on_200'_bluff_at_the_Strait_of_Juan_De_Fuca.,oceanweather,seasideweather,weather,whidbeyisland,,,,
light,Brightness,Whidbey_Weather_Station,SparkFun_Photon_WeatherShield_at_seaside_location_on_200'_bluff_at_the_Strait_of_Juan_De_Fuca.,oceanweather,seasideweather,weather,whidbeyisland,,,,
moisture,Humidity,Whidbey_Weather_Station,SparkFun_Photon_WeatherShield_at_seaside_location_on_200'_bluff_at_the_Strait_of_Juan_De_Fuca.,oceanweather,seasideweather,weather,whidbeyisland,,,,
rainfall,Rain_Index,Whidbey_Weather_Station,SparkFun_Photon_WeatherShield_at_seaside_location_on_200'_bluff_at_the_Strait_of_Juan_De_Fuca.,oceanweather,seasideweather,weather,whidbeyisland,,,,
soiltemp,Temperature,Whidbey_Weather_Station,SparkFun_Photon_WeatherShield_at_seaside_location_on_200'_bluff_at_the_Strait_of_Juan_De_Fuca.,oceanweather,seasideweather,weather,whidbeyisland,,,,
temperature,Temperature,Whidbey_Weather_Station,SparkFun_Photon_WeatherShield_at_seaside_location_on_200'_bluff_at_the_Strait_of_Juan_De_Fuca.,oceanweather,seasideweather,weather,whidbeyisland,,,,
winddirection,Wind,Whidbey_Weather_Station,SparkFun_Photon_WeatherShield_at_seaside_location_on_200'_bluff_at_the_Strait_of_Juan_De_Fuca.,oceanweather,seasideweather,weather,whidbeyisland,,,,
windgust,Speed,Whidbey_Weather_Station,SparkFun_Photon_WeatherShield_at_seaside_location_on_200'_bluff_at_the_Strait_of_Juan_De_Fuca.,oceanweather,seasideweather,weather,whidbeyisland,,,,
windgustdir,Speed,Whidbey_Weather_Station,SparkFun_Photon_WeatherShield_at_seaside_location_on_200'_bluff_at_the_Strait_of_Juan_De_Fuca.,oceanweather,seasideweather,weather,whidbeyisland,,,,
windspeed,Speed,Whidbey_Weather_Station,SparkFun_Photon_WeatherShield_at_seaside_location_on_200'_bluff_at_the_Strait_of_Juan_De_Fuca.,oceanweather,seasideweather,weather,whidbeyisland,,,,
Server Temp,Temperature,ioBridge_Server,ioBridge_IO-204_connected_to_web_server_to_report_temperatures_to_ThingSpeak,temperature,iobridge,,,,,,
Outside Temperature,Temperature,my_house,Netduino_Plus_connected_to_sensors_around_the_house,temp,light,sensor,,,,,
Light,Brightness,my_house,Netduino_Plus_connected_to_sensors_around_the_house,temp,light,sensor,,,,,
Humidity,Humidity,Arduino_Ethernet,Ofice_Humidity_using_ioBridge_FB-8_Humidity_sensor,_Arduino_Diecimilia,_and_Ethernet_Shield.,,,,,,
Degrees F,Temperature,Interior_Temp,,,,,,,,,
Temp,Temperature,My_Front_Room,Front_Room_Temperature,,,,,,,,
Btu's,Heat_Index,Channel_21,Arduino_ThingSpeak_Test,,,,,,,,
HX Out,Heat_Index,Channel_21,Arduino_ThingSpeak_Test,,,,,,,,
HX In,Heat_Index,Channel_21,Arduino_ThingSpeak_Test,,,,,,,,
Gallons Flowed,Capacity,Channel_21,Arduino_ThingSpeak_Test,,,,,,,,
Sensor 2,Temperature,Channel_Test,Temperaturtest_Sensor_1,Sensor_1,,,,,,,
Sensor 3,Temperature,Channel_Test,Temperaturtest_Sensor_1,Sensor_1,,,,,,,
Sensor 1,Temperature,Channel_Test,Temperaturtest_Sensor_1,Sensor_1,,,,,,,
Temperatura,Temperature,Channel_57,AguasClaras_Weather_Station_sending_Reative_Humidity_and_Temperature,,,,,,,,
Humidade,Humidity,Channel_57,AguasClaras_Weather_Station_sending_Reative_Humidity_and_Temperature,,,,,,,,
Pixel Distance,Distance,Pixance,My_mouse_pixel_distance_covered_in_each_time_lapse,_updated_with_Pixance.,mouse_distance_pixel_python,,,,,,
DS1820 Temp (F),Temperature,Lacomb,_OR,Temperature_data_for_a_future_weather_station,weather_Lacomb_Oregon,,,,,,
Humidity,Humidity,LEDA_USA_Environment,Office_conditions_at_grand_street!,ledartist,testing,,,,,,
Dewpoint,Temperature,LEDA_USA_Environment,Office_conditions_at_grand_street!,ledartist,testing,,,,,,
TempC,Temperature,LEDA_USA_Environment,Office_conditions_at_grand_street!,ledartist,testing,,,,,,
temp,Temperature,Freezer,,,,,,,,,
Light,Brightness,Netduino_Test,,,,,,,,,
Temperature,Temperature,Thermometer,Wireless_outdoor_thermometer_(Electric_Imp,_TI_TMP102_sensor,_4_x_AA_Energizer_L91).,temperature,outdoor,,,,
Temperature,Temperature,Channel_152,Weather_Brest,_France,,,,,,,
Ambient Light,Brightness,Greenhouse_monitor,An_Arduino_based_greenhouse_controller_sending_environment_data_via_xbee_to_a_gateway_which_posts_the_data_to_ThingSpeak,sindono.com,xbee,environment,sensor,temperature,light,humidity,
Soil Humidity,Humidity,Greenhouse_monitor,An_Arduino_based_greenhouse_controller_sending_environment_data_via_xbee_to_a_gateway_which_posts_the_data_to_ThingSpeak,sindono.com,xbee,environment,sensor,temperature,light,humidity,
Temperature,Temperature,Greenhouse_monitor,An_Arduino_based_greenhouse_controller_sending_environment_data_via_xbee_to_a_gateway_which_posts_the_data_to_ThingSpeak,sindono.com,xbee,environment,sensor,temperature,light,humidity,
Humidity / %,Humidity,Husum,Experimental_Si7021_sensor_setup.,temperature,humidity,Si7021,,,,,
Temperature / °C,Temperature,Husum,Experimental_Si7021_sensor_setup.,temperature,humidity,Si7021,,,,,
Temperature,Temperature,Temperature,Temperature_in_the_Cycle30_office,,,,,,,,
GageHeight,Height,SWRC_Streamgage1,Pumphouse_Streamgage,,,,,,,,
Rating,Rate,Tap_1,Data_channel_for_the_Blue_Tap,,,,,,,,
lostTime,Time,Work_Hours,Work_Ratio,,,,,,,,
downTime,Time,Work_Hours,Work_Ratio,,,,,,,,
Temperature ,Temperature,Home_-_Indoor_Temp,Temperature_readings_from_Arduino_1-Wire_network.,Arduino,1-Wire,,,,,,
baromin,Pressure,SWLincoln,_Ne_Weather,Weather_Station_Readings,,,,,,,
batt_lvl,Battery_Level,SWLincoln,_Ne_Weather,Weather_Station_Readings,,,,,,,
dailyrainin,Rain_Index,SWLincoln,_Ne_Weather,Weather_Station_Readings,,,,,,,
dewptf,Temperature,SWLincoln,_Ne_Weather,Weather_Station_Readings,,,,,,,
humidity,Humidity,SWLincoln,_Ne_Weather,Weather_Station_Readings,,,,,,,
light_lvl,Brightness,SWLincoln,_Ne_Weather,Weather_Station_Readings,,,,,,,
measurementtime,Time,SWLincoln,_Ne_Weather,Weather_Station_Readings,,,,,,,
rainin,Rain_Index,SWLincoln,_Ne_Weather,Weather_Station_Readings,,,,,,,
tempf,Temperature,SWLincoln,_Ne_Weather,Weather_Station_Readings,,,,,,,
winddir,Wind,SWLincoln,_Ne_Weather,Weather_Station_Readings,,,,,,,
winddir_avg2m,Wind,SWLincoln,_Ne_Weather,Weather_Station_Readings,,,,,,,
windgustdir,Speed,SWLincoln,_Ne_Weather,Weather_Station_Readings,,,,,,,
windgustdir_10m,Speed,SWLincoln,_Ne_Weather,Weather_Station_Readings,,,,,,,
windgustmph,Speed,SWLincoln,_Ne_Weather,Weather_Station_Readings,,,,,,,
windgustmph_10m,Speed,SWLincoln,_Ne_Weather,Weather_Station_Readings,,,,,,,
windspdmph_avg2m,Speed,SWLincoln,_Ne_Weather,Weather_Station_Readings,,,,,,,
windspeedmph,Speed,SWLincoln,_Ne_Weather,Weather_Station_Readings,,,,,,,
time,Time,Maint_Mez,Nitrogen_Flow_on_Maintenance_Mezzanine,,,,,,,,
humidity,Humidity,envsensor2-pi2,DHT11_temp/humidity_sensor.,,,,,,,,
temp,Temperature,envsensor2-pi2,DHT11_temp/humidity_sensor.,,,,,,,,
relative_humidity,Humidity,HP_Sensor_AQ_8,temperature,_humidity_sensor_indoors,hp_weather,,,,,,
temperature_in_celsius,Temperature,HP_Sensor_AQ_8,temperature,_humidity_sensor_indoors,hp_weather,,,,,,
baromin,Pressure,Weather_Station_in_Novara_(Italy),A_Weather_Station_in_Novara,novara,station,weather,,,,,
batt_lvl,Battery_Level,Weather_Station_in_Novara_(Italy),A_Weather_Station_in_Novara,novara,station,weather,,,,,
dailyrainin,Rain_Index,Weather_Station_in_Novara_(Italy),A_Weather_Station_in_Novara,novara,station,weather,,,,,
dewptf,Temperature,Weather_Station_in_Novara_(Italy),A_Weather_Station_in_Novara,novara,station,weather,,,,,
humidity,Humidity,Weather_Station_in_Novara_(Italy),A_Weather_Station_in_Novara,novara,station,weather,,,,,
light_lvl,Brightness,Weather_Station_in_Novara_(Italy),A_Weather_Station_in_Novara,novara,station,weather,,,,,
measurementtime,Time,Weather_Station_in_Novara_(Italy),A_Weather_Station_in_Novara,novara,station,weather,,,,,
rainin,Rain_Index,Weather_Station_in_Novara_(Italy),A_Weather_Station_in_Novara,novara,station,weather,,,,,
tempf,Temperature,Weather_Station_in_Novara_(Italy),A_Weather_Station_in_Novara,novara,station,weather,,,,,
winddir,Wind,Weather_Station_in_Novara_(Italy),A_Weather_Station_in_Novara,novara,station,weather,,,,,
winddir_avg2m,Wind,Weather_Station_in_Novara_(Italy),A_Weather_Station_in_Novara,novara,station,weather,,,,,
windgustdir,Speed,Weather_Station_in_Novara_(Italy),A_Weather_Station_in_Novara,novara,station,weather,,,,,
windgustdir_10m,Speed,Weather_Station_in_Novara_(Italy),A_Weather_Station_in_Novara,novara,station,weather,,,,,
windgustmph,Speed,Weather_Station_in_Novara_(Italy),A_Weather_Station_in_Novara,novara,station,weather,,,,,
windgustmph_10m,Speed,Weather_Station_in_Novara_(Italy),A_Weather_Station_in_Novara,novara,station,weather,,,,,
windspdmph_avg2m,Speed,Weather_Station_in_Novara_(Italy),A_Weather_Station_in_Novara,novara,station,weather,,,,,
windspeedmph,Speed,Weather_Station_in_Novara_(Italy),A_Weather_Station_in_Novara,novara,station,weather,,,,,
baromin,Pressure,Skyline_Estates_Arvada_WIMP,A_complete_WIMP,arvada,estates,skyline,weather,,,,
batt_lvl,Battery_Level,Skyline_Estates_Arvada_WIMP,A_complete_WIMP,arvada,estates,skyline,weather,,,,
dailyrainin,Rain_Index,Skyline_Estates_Arvada_WIMP,A_complete_WIMP,arvada,estates,skyline,weather,,,,
dewptf,Temperature,Skyline_Estates_Arvada_WIMP,A_complete_WIMP,arvada,estates,skyline,weather,,,,
humidity,Humidity,Skyline_Estates_Arvada_WIMP,A_complete_WIMP,arvada,estates,skyline,weather,,,,
light_lvl,Brightness,Skyline_Estates_Arvada_WIMP,A_complete_WIMP,arvada,estates,skyline,weather,,,,
rainin,Rain_Index,Skyline_Estates_Arvada_WIMP,A_complete_WIMP,arvada,estates,skyline,weather,,,,
tempf,Temperature,Skyline_Estates_Arvada_WIMP,A_complete_WIMP,arvada,estates,skyline,weather,,,,
winddir,Wind,Skyline_Estates_Arvada_WIMP,A_complete_WIMP,arvada,estates,skyline,weather,,,,
winddir_avg2m,Wind,Skyline_Estates_Arvada_WIMP,A_complete_WIMP,arvada,estates,skyline,weather,,,,
windgustdir,Speed,Skyline_Estates_Arvada_WIMP,A_complete_WIMP,arvada,estates,skyline,weather,,,,
windgustdir_10m,Speed,Skyline_Estates_Arvada_WIMP,A_complete_WIMP,arvada,estates,skyline,weather,,,,
windgustmph,Speed,Skyline_Estates_Arvada_WIMP,A_complete_WIMP,arvada,estates,skyline,weather,,,,
windgustmph_10m,Speed,Skyline_Estates_Arvada_WIMP,A_complete_WIMP,arvada,estates,skyline,weather,,,,
windspdmph_avg2m,Speed,Skyline_Estates_Arvada_WIMP,A_complete_WIMP,arvada,estates,skyline,weather,,,,
windspeedmph,Speed,Skyline_Estates_Arvada_WIMP,A_complete_WIMP,arvada,estates,skyline,weather,,,,
humidity,Humidity,test_weather,Testing_wimp_weather_station,,,,,,,,
tempf,Temperature,test_weather,Testing_wimp_weather_station,,,,,,,,
temp,Temperature,Blueline_Server_Closet_Temp_Sensor,Blueline_Server_Closet_Temperature_Sensor,blueline,,,,,,,
dewpoint,Temperature,Raspberry_Pi_Weather,A_Raspberry_Pi_Weather_station_decoding_433_MHz_Sensors__www.billy.gr/raspberry-pi-weather-station,raspberrypi,weather,,,,,,
heatindex,Temperature,Raspberry_Pi_Weather,A_Raspberry_Pi_Weather_station_decoding_433_MHz_Sensors__www.billy.gr/raspberry-pi-weather-station,raspberrypi,weather,,,,,,
humidity,Humidity,Raspberry_Pi_Weather,A_Raspberry_Pi_Weather_station_decoding_433_MHz_Sensors__www.billy.gr/raspberry-pi-weather-station,raspberrypi,weather,,,,,,
temperature,Temperature,Raspberry_Pi_Weather,A_Raspberry_Pi_Weather_station_decoding_433_MHz_Sensors__www.billy.gr/raspberry-pi-weather-station,raspberrypi,weather,,,,,,
bottom,Temperature,Solar_Hot_Water_Temperatures,SHWS_temperatures_at_bottom(cold_inlet_and_roof_heater_feed),_middle_(roof_heater_return)_and_top_(tank_outlet),shws,,,,,,
middle,Temperature,Solar_Hot_Water_Temperatures,SHWS_temperatures_at_bottom(cold_inlet_and_roof_heater_feed),_middle_(roof_heater_return)_and_top_(tank_outlet),shws,,,,,,
timestamp,Time,Solar_Hot_Water_Temperatures,SHWS_temperatures_at_bottom(cold_inlet_and_roof_heater_feed),_middle_(roof_heater_return)_and_top_(tank_outlet),shws,,,,,,
top,Temperature,Solar_Hot_Water_Temperatures,SHWS_temperatures_at_bottom(cold_inlet_and_roof_heater_feed),_middle_(roof_heater_return)_and_top_(tank_outlet),shws,,,,,,
humidity,Humidity,VBBarn1_Env,A_VoltBarn_sensor_pack,_in_the_downstairs_workshop,_using_a_MPL115A1_for_barometric_pressure,_and_HTU21D_temp/humidity.,weather,,,,
pressure,Pressure,VBBarn1_Env,A_VoltBarn_sensor_pack,_in_the_downstairs_workshop,_using_a_MPL115A1_for_barometric_pressure,_and_HTU21D_temp/humidity.,weather,,,,
temp,Temperature,VBBarn1_Env,A_VoltBarn_sensor_pack,_in_the_downstairs_workshop,_using_a_MPL115A1_for_barometric_pressure,_and_HTU21D_temp/humidity.,weather,,,,
hum,Humidity,Arduino,temperatura,,,,,,,,
temp,Temperature,Arduino,temperatura,,,,,,,,
lux,Brightness,RACCS_Logger,RACCS_environmental_sensor_data,,,,,,,,
temp,Temperature,RACCS_Logger,RACCS_environmental_sensor_data,,,,,,,,
baromin,Pressure,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
batt_lvl,Battery_Level,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
dailyrainin,Rain_Index,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
dewptf,Temperature,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
humidity,Humidity,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
light_lvl,Brightness,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
measurementTime,Time,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
rainin,Rain_Index,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
tempf,Temperature,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
winddir,Wind,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
winddir_avg2m,Wind,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
windgustdir,Speed,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
windgustdir_10m,Speed,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
windgustmph,Speed,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
windgustmph_10m,Speed,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
windspdmph_avg2m,Speed,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
windspeedmph,Speed,Weather_Dump,Weather_information_at_Cilia.,millwood,ny,sensor,weather,,,,
baromin,Pressure,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
batt_lvl,Battery_Level,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
dailyrainin,Rain_Index,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
dewptf,Temperature,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
humidity,Humidity,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
light_lvl,Brightness,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
measurementtime,Time,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
rainin,Rain_Index,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
tempf,Temperature,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
winddir,Wind,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
winddir_avg2m,Wind,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
windgustdir,Speed,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
windgustdir_10m,Speed,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
windgustmph,Speed,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
windgustmph_10m,Speed,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
windspdmph_avg2m,Speed,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
windspeedmph,Speed,K&K_Weather_Station,WIMP_K&K_Weather_Station,weather,,,,,,,
temp,Temperature,WineTempBug,First_TemBug,electricimp,imp,signal,temperature,,,,
batterypercent,Battery_Level,Torrey_Pines_Elementary_School_Red_Box_1,Red_box_1_is_a_moveable_waterproof_box_containing_a_Photon_that_is_attached_to_a_soil_moisture_sensor,_a_soil_temperature_sensor_and_an_SI1145_UV,_infrared,_and_visible_light_sensor._The_box_uses_a_LiPo_battery_and_the_SparkFun_battery_shield_and_has_a_waterproof_USB_connector_for_charging_the_battery_as_well_as_a_waterproof_on/off_button.,moisture,soil,temperature,uv,
soilmoistpercent,Humidity,Torrey_Pines_Elementary_School_Red_Box_1,Red_box_1_is_a_moveable_waterproof_box_containing_a_Photon_that_is_attached_to_a_soil_moisture_sensor,_a_soil_temperature_sensor_and_an_SI1145_UV,_infrared,_and_visible_light_sensor._The_box_uses_a_LiPo_battery_and_the_SparkFun_battery_shield_and_has_a_waterproof_USB_connector_for_charging_the_battery_as_well_as_a_waterproof_on/off_button.,moisture,soil,temperature,uv,
soilmoistvalue,Humidity,Torrey_Pines_Elementary_School_Red_Box_1,Red_box_1_is_a_moveable_waterproof_box_containing_a_Photon_that_is_attached_to_a_soil_moisture_sensor,_a_soil_temperature_sensor_and_an_SI1145_UV,_infrared,_and_visible_light_sensor._The_box_uses_a_LiPo_battery_and_the_SparkFun_battery_shield_and_has_a_waterproof_USB_connector_for_charging_the_battery_as_well_as_a_waterproof_on/off_button.,moisture,soil,temperature,uv,
stempc,Temperature,Torrey_Pines_Elementary_School_Red_Box_1,Red_box_1_is_a_moveable_waterproof_box_containing_a_Photon_that_is_attached_to_a_soil_moisture_sensor,_a_soil_temperature_sensor_and_an_SI1145_UV,_infrared,_and_visible_light_sensor._The_box_uses_a_LiPo_battery_and_the_SparkFun_battery_shield_and_has_a_waterproof_USB_connector_for_charging_the_battery_as_well_as_a_waterproof_on/off_button.,moisture,soil,temperature,uv,
stempf,Temperature,Torrey_Pines_Elementary_School_Red_Box_1,Red_box_1_is_a_moveable_waterproof_box_containing_a_Photon_that_is_attached_to_a_soil_moisture_sensor,_a_soil_temperature_sensor_and_an_SI1145_UV,_infrared,_and_visible_light_sensor._The_box_uses_a_LiPo_battery_and_the_SparkFun_battery_shield_and_has_a_waterproof_USB_connector_for_charging_the_battery_as_well_as_a_waterproof_on/off_button.,moisture,soil,temperature,uv,
uvindex,UV,Torrey_Pines_Elementary_School_Red_Box_1,Red_box_1_is_a_moveable_waterproof_box_containing_a_Photon_that_is_attached_to_a_soil_moisture_sensor,_a_soil_temperature_sensor_and_an_SI1145_UV,_infrared,_and_visible_light_sensor._The_box_uses_a_LiPo_battery_and_the_SparkFun_battery_shield_and_has_a_waterproof_USB_connector_for_charging_the_battery_as_well_as_a_waterproof_on/off_button.,moisture,soil,temperature,uv,
settemperature,Temperature,Sous_Vide,Sous_Vide_PID_temperature_controller,,,,,,,,
temperature,Temperature,Sous_Vide,Sous_Vide_PID_temperature_controller,,,,,,,,
humidity,Humidity,Tempel_Weather,temperature_and_humidity_data_from_the_photon,,,,,,,,
tempf,Temperature,Tempel_Weather,temperature_and_humidity_data_from_the_photon,,,,,,,,
hidx,Heat_Index,Node_WiFi_Weather_DHT11,Nodemcu_esp8266_dht11,,,,,,,,
hidx2,Heat_Index,Node_WiFi_Weather_DHT11,Nodemcu_esp8266_dht11,,,,,,,,
hum,Humidity,Node_WiFi_Weather_DHT11,Nodemcu_esp8266_dht11,,,,,,,,
hum2,Humidity,Node_WiFi_Weather_DHT11,Nodemcu_esp8266_dht11,,,,,,,,
temp,Temperature,Node_WiFi_Weather_DHT11,Nodemcu_esp8266_dht11,,,,,,,,
temp2,Temperature,Node_WiFi_Weather_DHT11,Nodemcu_esp8266_dht11,,,,,,,,
time,Time,Char_Lab1,Nitrogen_monitor,,,,,,,,
humidity,Humidity,WMP11_temperature_+_humidity,ESP8266_AM2302,humidity,temp,,,,,,
temp,Temperature,WMP11_temperature_+_humidity,ESP8266_AM2302,humidity,temp,,,,,,
millis,Time,ESP8266_monitors,ESP8266_monitors_streaming_temperature_information,dht11,ds18b20,esp8266,temperature,,,,
temp,Temperature,ESP8266_monitors,ESP8266_monitors_streaming_temperature_information,dht11,ds18b20,esp8266,temperature,,,,
hidx1,Heat_Index,UAM_-_AZC_/_Hornos_1_+_2,Monitoreo_de_condiciones_de_los_experimentos,dht22,,,,,,,
hidx2,Heat_Index,UAM_-_AZC_/_Hornos_1_+_2,Monitoreo_de_condiciones_de_los_experimentos,dht22,,,,,,,
hum1,Humidity,UAM_-_AZC_/_Hornos_1_+_2,Monitoreo_de_condiciones_de_los_experimentos,dht22,,,,,,,
hum2,Humidity,UAM_-_AZC_/_Hornos_1_+_2,Monitoreo_de_condiciones_de_los_experimentos,dht22,,,,,,,
temp1,Temperature,UAM_-_AZC_/_Hornos_1_+_2,Monitoreo_de_condiciones_de_los_experimentos,dht22,,,,,,,
temp2,Temperature,UAM_-_AZC_/_Hornos_1_+_2,Monitoreo_de_condiciones_de_los_experimentos,dht22,,,,,,,
time,Time,30_Sensors_logging,PPJ_testing,,,,,,,,
humidity,Humidity,LightSensor,Light_sensor_basic_setup,light,,,,,,,
light,Brightness,LightSensor,Light_sensor_basic_setup,light,,,,,,,
temperature,Temperature,LightSensor,Light_sensor_basic_setup,light,,,,,,,
temp,Temperature,Incubator_1,Temperature_sensos_-_PT100_A/D_-_ADS1247,incubator,,,,,,,
gas,Gas_Level,Balancer-Home-Gas-MQ-2,MQ-2_Gas_sensor_level,gas,,,,,,,
motion,Motion,Pickem_Motion_Sensor,Motion_sensor_trial_living_room,,,,,,,,
time,Time,Pickem_Motion_Sensor,Motion_sensor_trial_living_room,,,,,,,,
ch01,Energy,Home_Energy_Monitor_at_140_Ly_Thai_To_Hoi_An_Viet_Nam,A_Energy_usage_at_140_Ly_Thai_To_Hoi_An_use_Arduno_and_Esp8266,hoian,iot,solarpower,weather,,,,
ch02,Energy,Home_Energy_Monitor_at_140_Ly_Thai_To_Hoi_An_Viet_Nam,A_Energy_usage_at_140_Ly_Thai_To_Hoi_An_use_Arduno_and_Esp8266,hoian,iot,solarpower,weather,,,,
ch03,Energy,Home_Energy_Monitor_at_140_Ly_Thai_To_Hoi_An_Viet_Nam,A_Energy_usage_at_140_Ly_Thai_To_Hoi_An_use_Arduno_and_Esp8266,hoian,iot,solarpower,weather,,,,
ch04,Energy,Home_Energy_Monitor_at_140_Ly_Thai_To_Hoi_An_Viet_Nam,A_Energy_usage_at_140_Ly_Thai_To_Hoi_An_use_Arduno_and_Esp8266,hoian,iot,solarpower,weather,,,,
